current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-131.65757716074586,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-126.63030864298344,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-106.52123457193375,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-26.084938287734985,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-100.33975315093994,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-1.3590126037597656,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-1.4360504150390625,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-1.74420166015625,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-2.976806640625,"(2, 1)",Move accepted
"(2, 1)","(0, 1)",-1,-7.9072265625,"(2, 2)",Move accepted
"(2, 2)","(-1, 0)",-1,-27.62890625,"(1, 2)",Move accepted
"(1, 2)","(0, -1)",-100,-106.515625,"(1, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 2)","(-1, 0)",-1,-26.0625,"(0, 2)",Move accepted
"(0, 2)","(0, 1)",-100,-100.25,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(1, 0)",-1,-1,"(1, 2)",Move accepted
