current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, 1)",-1,-32.78444417193532,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-127.13777668774128,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(-1, 0)",-100,-108.55110675096512,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-34.204427003860474,"(0, 2)",Move accepted
"(0, 2)","(-1, 0)",-100,-132.8177080154419,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, 1)",-100,-131.27083206176758,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, 1)",-100,-125.08332824707031,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, 1)",-100,-100.33331298828125,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, -1)",-1,-1.333251953125,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-1.3330078125,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-1.33203125,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-1.328125,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-1.3125,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-1.25,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-1,"(1, 0)",Move accepted
