current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-132.94652004539967,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-131.78608018159866,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-127.14432072639465,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-108.57728290557861,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-34.30913162231445,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-133.2365264892578,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(1, 0)",-100,-132.94610595703125,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(1, 0)",-100,-131.784423828125,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(1, 0)",-100,-127.1376953125,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(1, 0)",-100,-108.55078125,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-34.203125,"(0, 0)",Move accepted
"(0, 0)","(-1, 0)",-100,-132.8125,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-131.25,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-125.0,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-100,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
