current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-125.47760518267751,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-101.91042073071003,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-7.641682922840118,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-26.566731691360474,"(0, 0)",Move accepted
"(0, 0)","(0, -1)",-100,-102.2669267654419,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-9.067707061767578,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-32.27082824707031,"(0, 0)",Move accepted
"(0, 0)","(-1, 0)",-100,-125.08331298828125,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-100.333251953125,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-1.3330078125,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-1.33203125,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-1.328125,"(2, 1)",Move accepted
"(2, 1)","(0, 1)",-1,-1.3125,"(2, 2)",Move accepted
"(2, 2)","(0, -1)",-1,-1.25,"(2, 1)",Move accepted
"(2, 1)","(0, -1)",-1,-1,"(2, 0)",Move accepted
