current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-34.30866023898125,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-133.234640955925,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-132.93856382369995,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-131.7542552947998,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-127.01702117919922,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-108.06808471679688,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-32.2723388671875,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-125.08935546875,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(0, -1)",-100,-100.357421875,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(-1, 0)",-1,-1.4296875,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-1.71875,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-2.875,"(3, 0)",Move accepted
"(3, 0)","(1, 0)",-1,-7.5,"(4, 0)",Move accepted
"(4, 0)","(-1, 0)",-1,-26.0,"(3, 0)",Move accepted
"(3, 0)","(0, 1)",-100,-100,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
