current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-108.09376800432801,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-32.37507201731205,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-125.5002880692482,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-102.0011522769928,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-8.004609107971191,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-28.018436431884766,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-108.07374572753906,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-32.29498291015625,"(0, 2)",Move accepted
"(0, 2)","(0, 1)",-100,-125.179931640625,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, 1)",-100,-100.7197265625,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(1, 0)",-1,-2.87890625,"(1, 2)",Move accepted
"(1, 2)","(-1, 0)",-1,-7.515625,"(0, 2)",Move accepted
"(0, 2)","(0, -1)",-1,-26.0625,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-100.25,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-1,"(0, 2)",Move accepted
