current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-26.496140152215958,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-101.98456060886383,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-7.938242435455322,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-27.75296974182129,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-107.01187896728516,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-28.047515869140625,"(0, 0)",Move accepted
"(0, 0)","(0, -1)",-100,-108.1900634765625,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-32.76025390625,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-127.041015625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-108.1640625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-32.65625,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-126.625,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(0, -1)",-100,-106.5,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(-1, 0)",-1,-26.0,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-100,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
