current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-32.27246971428394,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-125.08987885713577,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-100.35951542854309,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-1.4380617141723633,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-1.7522468566894531,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-3.0089874267578125,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-8.03594970703125,"(3, 0)",Move accepted
"(3, 0)","(-1, 0)",-1,-28.143798828125,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-108.5751953125,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(1, 0)",-1,-34.30078125,"(3, 0)",Move accepted
"(3, 0)","(0, 1)",-100,-133.203125,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(0, -1)",-100,-132.8125,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(0, -1)",-100,-131.25,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(0, -1)",-100,-125.0,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(0, -1)",-100,-100,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
