current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, 1)",-1,-7.552935853600502,"(0, 1)",Move accepted
"(0, 1)","(0, 1)",-1,-26.211743414402008,"(0, 2)",Move accepted
"(0, 2)","(-1, 0)",-100,-100.84697365760803,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(1, 0)",-1,-3.387894630432129,"(1, 2)",Move accepted
"(1, 2)","(0, 1)",-1,-9.551578521728516,"(1, 3)",Move accepted
"(1, 3)","(0, 1)",-1,-34.20631408691406,"(1, 4)",Move accepted
"(1, 4)","(0, 1)",-100,-132.82525634765625,"(1, 4)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 4)","(0, 1)",-100,-131.301025390625,"(1, 4)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 4)","(0, 1)",-100,-125.2041015625,"(1, 4)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 4)","(0, 1)",-100,-100.81640625,"(1, 4)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 4)","(0, -1)",-1,-3.265625,"(1, 3)",Move accepted
"(1, 3)","(0, 1)",-1,-9.0625,"(1, 4)",Move accepted
"(1, 4)","(1, 0)",-1,-32.25,"(2, 4)",Move accepted
"(2, 4)","(0, -1)",-100,-125.0,"(2, 4)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 4)","(0, -1)",-100,-100,"(2, 4)",Attempted to move into a wall or beyond the maze’s boundaries
