current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-132.8180937319994,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-131.2723749279976,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-125.08949971199036,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-100.35799884796143,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-1.4319953918457031,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-1.7279815673828125,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-2.91192626953125,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-7.647705078125,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-26.5908203125,"(2, 1)",Move accepted
"(2, 1)","(1, 0)",-100,-102.36328125,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 1)","(0, -1)",-1,-9.453125,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-33.8125,"(2, 1)",Move accepted
"(2, 1)","(1, 0)",-100,-131.25,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 1)","(-1, 0)",-100,-125.0,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 1)","(1, 0)",-100,-100,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
