current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-133.23502488434315,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-132.9400995373726,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-131.76039814949036,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-127.04159259796143,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-108.1663703918457,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-32.66548156738281,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-126.66192626953125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-106.647705078125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-26.5908203125,"(0, 0)",Move accepted
"(0, 0)","(0, -1)",-100,-102.36328125,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-9.453125,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-33.8125,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-131.25,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(0, -1)",-100,-125.0,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(0, -1)",-100,-100,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
