current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-32.276994198560715,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-125.10797679424286,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-100.43190717697144,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-1.7276287078857422,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-2.9105148315429688,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-7.642059326171875,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-26.5682373046875,"(3, 0)",Move accepted
"(3, 0)","(0, -1)",-100,-102.27294921875,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(-1, 0)",-1,-9.091796875,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-32.3671875,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-125.46875,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-101.875,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-7.5,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-26.0,"(2, 1)",Move accepted
"(2, 1)","(-1, 0)",-100,-100,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
