current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-32.369149032980204,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-125.47659613192081,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-101.90638452768326,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-7.625538110733032,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-26.50215244293213,"(2, 1)",Move accepted
"(2, 1)","(1, 0)",-100,-102.00860977172852,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 1)","(0, 1)",-1,-8.034439086914062,"(2, 2)",Move accepted
"(2, 2)","(-1, 0)",-1,-28.13775634765625,"(1, 2)",Move accepted
"(1, 2)","(0, -1)",-100,-108.551025390625,"(1, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 2)","(0, 1)",-1,-34.2041015625,"(1, 3)",Move accepted
"(1, 3)","(-1, 0)",-100,-132.81640625,"(1, 3)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 3)","(1, 0)",-100,-131.265625,"(1, 3)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 3)","(1, 0)",-100,-125.0625,"(1, 3)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 3)","(1, 0)",-100,-100.25,"(1, 3)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 3)","(0, -1)",-1,-1,"(1, 2)",Move accepted
