current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, 1)",-1,-1.8183681517839432,"(0, 1)",Move accepted
"(0, 1)","(0, 1)",-1,-3.2734726071357727,"(0, 2)",Move accepted
"(0, 2)","(1, 0)",-1,-9.09389042854309,"(1, 2)",Move accepted
"(1, 2)","(-1, 0)",-1,-32.37556171417236,"(0, 2)",Move accepted
"(0, 2)","(0, 1)",-100,-125.50224685668945,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, 1)",-100,-102.00898742675781,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, -1)",-1,-8.03594970703125,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-28.143798828125,"(0, 0)",Move accepted
"(0, 0)","(-1, 0)",-100,-108.5751953125,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-34.30078125,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-133.203125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-132.8125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-131.25,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-125.0,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-100,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
