current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, 1)",-1,-26.59092566370964,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-102.36370265483856,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-9.454810619354248,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-33.81924247741699,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-131.27696990966797,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-125.10787963867188,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-100.4315185546875,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-1.72607421875,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-2.904296875,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-7.6171875,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-26.46875,"(3, 0)",Move accepted
"(3, 0)","(0, 1)",-100,-101.875,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(-1, 0)",-1,-7.5,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-26.0,"(3, 0)",Move accepted
"(3, 0)","(0, 1)",-100,-100,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
