current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-108.09339477494359,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-32.37357909977436,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-125.49431639909744,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-101.97726559638977,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-7.909062385559082,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-27.636249542236328,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-106.54499816894531,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-26.17999267578125,"(0, 0)",Move accepted
"(0, 0)","(-1, 0)",-100,-100.719970703125,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-2.8798828125,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-7.51953125,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-26.078125,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-100.3125,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-1.25,"(0, 2)",Move accepted
"(0, 2)","(0, -1)",-1,-1,"(0, 1)",Move accepted
