current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-106.52095872536302,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-26.083834901452065,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-100.33533960580826,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-1.3413584232330322,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-1.365433692932129,"(0, 1)",Move accepted
"(0, 1)","(0, 1)",-1,-1.4617347717285156,"(0, 2)",Move accepted
"(0, 2)","(0, -1)",-1,-1.8469390869140625,"(0, 1)",Move accepted
"(0, 1)","(0, 1)",-1,-3.38775634765625,"(0, 2)",Move accepted
"(0, 2)","(0, -1)",-1,-9.551025390625,"(0, 1)",Move accepted
"(0, 1)","(0, 1)",-1,-34.2041015625,"(0, 2)",Move accepted
"(0, 2)","(-1, 0)",-100,-132.81640625,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(-1, 0)",-100,-131.265625,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(-1, 0)",-100,-125.0625,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(-1, 0)",-100,-100.25,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, -1)",-1,-1,"(0, 1)",Move accepted
