current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-100.33947612717748,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-1.3579045087099075,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-1.4316180348396301,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-1.7264721393585205,"(2, 1)",Move accepted
"(2, 1)","(0, 1)",-1,-2.905888557434082,"(2, 2)",Move accepted
"(2, 2)","(-1, 0)",-1,-7.623554229736328,"(1, 2)",Move accepted
"(1, 2)","(1, 0)",-1,-26.494216918945312,"(2, 2)",Move accepted
"(2, 2)","(0, 1)",-100,-101.97686767578125,"(2, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 2)","(-1, 0)",-1,-7.907470703125,"(1, 2)",Move accepted
"(1, 2)","(-1, 0)",-1,-27.6298828125,"(0, 2)",Move accepted
"(0, 2)","(0, 1)",-100,-106.51953125,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, -1)",-1,-26.078125,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-100.3125,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-1.25,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-1,"(0, 1)",Move accepted
