current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-1.3640473075211048,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-1.4561892300844193,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-1.824756920337677,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-3.299027681350708,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-9.196110725402832,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-32.78444290161133,"(0, 0)",Move accepted
"(0, 0)","(0, -1)",-100,-127.13777160644531,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-108.55108642578125,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-34.204345703125,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-132.8173828125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-131.26953125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-125.078125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-100.3125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-1.25,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-1,"(1, 0)",Move accepted
