current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, 1)",-1,-33.93905398249626,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-131.75621592998505,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(-1, 0)",-100,-127.02486371994019,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(-1, 0)",-100,-108.09945487976074,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-32.39781951904297,"(0, 2)",Move accepted
"(0, 2)","(-1, 0)",-100,-125.59127807617188,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, 1)",-100,-102.3651123046875,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(1, 0)",-1,-9.46044921875,"(1, 2)",Move accepted
"(1, 2)","(0, 1)",-1,-33.841796875,"(1, 3)",Move accepted
"(1, 3)","(-1, 0)",-100,-131.3671875,"(1, 3)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 3)","(1, 0)",-100,-125.46875,"(1, 3)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 3)","(1, 0)",-100,-101.875,"(1, 3)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 3)","(0, 1)",-1,-7.5,"(1, 4)",Move accepted
"(1, 4)","(-1, 0)",-1,-26.0,"(0, 4)",Move accepted
"(0, 4)","(0, 1)",-100,-100,"(0, 4)",Attempted to move into a wall or beyond the maze’s boundaries
