current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-131.7788047939539,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-127.11521917581558,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-108.46087670326233,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-33.843506813049316,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-131.37402725219727,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(-1, 0)",-100,-125.49610900878906,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(-1, 0)",-100,-101.98443603515625,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-7.937744140625,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-27.7509765625,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-107.00390625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-28.015625,"(0, 0)",Move accepted
"(0, 0)","(-1, 0)",-100,-108.0625,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-32.25,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-125.0,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(1, 0)",-100,-100,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
