current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-108.06969692185521,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-32.278787687420845,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-125.11515074968338,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-100.46060299873352,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-1.842411994934082,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-3.369647979736328,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-9.478591918945312,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-33.91436767578125,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-131.657470703125,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(1, 0)",-100,-126.6298828125,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(-1, 0)",-100,-106.51953125,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-26.078125,"(0, 2)",Move accepted
"(0, 2)","(-1, 0)",-100,-100.3125,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(1, 0)",-1,-1.25,"(1, 2)",Move accepted
"(1, 2)","(0, 1)",-1,-1,"(1, 3)",Move accepted
