current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-131.29663226008415,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-125.18652904033661,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-100.74611616134644,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-2.984464645385742,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-7.937858581542969,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-27.751434326171875,"(3, 0)",Move accepted
"(3, 0)","(0, -1)",-100,-107.0057373046875,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(-1, 0)",-1,-28.02294921875,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-108.091796875,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(-1, 0)",-1,-32.3671875,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-125.46875,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-101.875,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-7.5,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-26.0,"(2, 1)",Move accepted
"(2, 1)","(-1, 0)",-100,-100,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
