current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-2.9833099991083145,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-7.933239996433258,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-27.732959985733032,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-106.93183994293213,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-27.727359771728516,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-106.90943908691406,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(0, 1)",-1,-27.63775634765625,"(2, 1)",Move accepted
"(2, 1)","(1, 0)",-100,-106.551025390625,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 1)","(0, -1)",-1,-26.2041015625,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-100.81640625,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(0, 1)",-1,-3.265625,"(2, 1)",Move accepted
"(2, 1)","(0, 1)",-1,-9.0625,"(2, 2)",Move accepted
"(2, 2)","(1, 0)",-1,-32.25,"(3, 2)",Move accepted
"(3, 2)","(0, -1)",-100,-125.0,"(3, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 2)","(0, -1)",-100,-100,"(3, 2)",Attempted to move into a wall or beyond the maze’s boundaries
