current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-125.18766791000962,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-100.75067164003849,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-3.002686560153961,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-8.010746240615845,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-28.04298496246338,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-108.17193984985352,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-32.68775939941406,"(0, 2)",Move accepted
"(0, 2)","(0, 1)",-100,-126.75103759765625,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(-1, 0)",-100,-107.004150390625,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, -1)",-1,-28.0166015625,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-108.06640625,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-32.265625,"(0, 0)",Move accepted
"(0, 0)","(0, -1)",-100,-125.0625,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-100.25,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-1,"(0, 1)",Move accepted
