current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-1.438038557767868,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-1.7521542310714722,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-3.0086169242858887,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-8.034467697143555,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-28.13787078857422,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-108.55148315429688,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-34.2059326171875,"(0, 0)",Move accepted
"(0, 0)","(0, -1)",-100,-132.82373046875,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-131.294921875,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-125.1796875,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-100.71875,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-2.875,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-7.5,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-26.0,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-100,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
