current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, 1)",-1,-34.23060956597328,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-132.92243826389313,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(-1, 0)",-100,-131.6897530555725,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(1, 0)",-100,-126.75901222229004,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(-1, 0)",-100,-107.03604888916016,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-28.144195556640625,"(0, 0)",Move accepted
"(0, 0)","(-1, 0)",-100,-108.5767822265625,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-34.30712890625,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-133.228515625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-132.9140625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-131.65625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-126.625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-106.5,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-26.0,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-100,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
