current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-106.91359493136406,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-27.654379725456238,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-106.61751890182495,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-26.470075607299805,"(0, 2)",Move accepted
"(0, 2)","(-1, 0)",-100,-101.88030242919922,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(1, 0)",-1,-7.521209716796875,"(1, 2)",Move accepted
"(1, 2)","(1, 0)",-1,-26.0848388671875,"(2, 2)",Move accepted
"(2, 2)","(0, 1)",-100,-100.33935546875,"(2, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 2)","(0, -1)",-1,-1.357421875,"(2, 1)",Move accepted
"(2, 1)","(0, 1)",-1,-1.4296875,"(2, 2)",Move accepted
"(2, 2)","(0, -1)",-1,-1.71875,"(2, 1)",Move accepted
"(2, 1)","(0, -1)",-1,-2.875,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-7.5,"(3, 0)",Move accepted
"(3, 0)","(1, 0)",-1,-26.0,"(4, 0)",Move accepted
"(4, 0)","(1, 0)",-100,-100,"(4, 0)",Attempted to move into a wall or beyond the maze’s boundaries
