current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-26.115558296442032,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-100.46223318576813,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-1.8489327430725098,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-3.395730972290039,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-9.582923889160156,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-34.331695556640625,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-133.3267822265625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-133.30712890625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-133.228515625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-132.9140625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-131.65625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-126.625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-106.5,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-26.0,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-100,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
