current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-102.3636303730309,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-9.454521492123604,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-33.818085968494415,"(0, 0)",Move accepted
"(0, 0)","(-1, 0)",-100,-131.27234387397766,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-125.08937549591064,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-100.35750198364258,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-1.4300079345703125,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-1.72003173828125,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-2.880126953125,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-7.5205078125,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-26.08203125,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-100.328125,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-1.3125,"(0, 2)",Move accepted
"(0, 2)","(0, -1)",-1,-1.25,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-1,"(0, 0)",Move accepted
