current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, 1)",-1,-26.085345894098282,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-100.34138357639313,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-1.3655343055725098,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-1.462137222290039,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-1.8485488891601562,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-3.394195556640625,"(3, 0)",Move accepted
"(3, 0)","(-1, 0)",-1,-9.5767822265625,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-34.30712890625,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-133.228515625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-132.9140625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-131.65625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-126.625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-106.5,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-26.0,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-100,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
