current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-100.43796737864614,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-1.7518695145845413,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-3.0074780583381653,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-8.029912233352661,"(3, 0)",Move accepted
"(3, 0)","(1, 0)",-1,-28.119648933410645,"(4, 0)",Move accepted
"(4, 0)","(1, 0)",-100,-108.47859573364258,"(4, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(4, 0)","(-1, 0)",-1,-33.91438293457031,"(3, 0)",Move accepted
"(3, 0)","(0, -1)",-100,-131.65753173828125,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(0, 1)",-100,-126.630126953125,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(0, 1)",-100,-106.5205078125,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(1, 0)",-1,-26.08203125,"(4, 0)",Move accepted
"(4, 0)","(0, -1)",-100,-100.328125,"(4, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(4, 0)","(0, 1)",-1,-1.3125,"(4, 1)",Move accepted
"(4, 1)","(0, -1)",-1,-1.25,"(4, 0)",Move accepted
"(4, 0)","(0, 1)",-1,-1,"(4, 1)",Move accepted
