current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-34.211981657892466,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-132.84792663156986,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-131.39170652627945,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-125.5668261051178,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-102.26730442047119,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-9.069217681884766,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-32.27687072753906,"(3, 0)",Move accepted
"(3, 0)","(0, 1)",-100,-125.10748291015625,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(0, 1)",-100,-100.429931640625,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(1, 0)",-1,-1.7197265625,"(4, 0)",Move accepted
"(4, 0)","(0, 1)",-1,-2.87890625,"(4, 1)",Move accepted
"(4, 1)","(0, -1)",-1,-7.515625,"(4, 0)",Move accepted
"(4, 0)","(-1, 0)",-1,-26.0625,"(3, 0)",Move accepted
"(3, 0)","(0, 1)",-100,-100.25,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(-1, 0)",-1,-1,"(2, 0)",Move accepted
