current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-100.35753460228443,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-1.4301384091377258,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-1.7205536365509033,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-2.8822145462036133,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-7.528858184814453,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-26.115432739257812,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-100.46173095703125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-1.846923828125,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-3.3876953125,"(2, 1)",Move accepted
"(2, 1)","(0, -1)",-1,-9.55078125,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-34.203125,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-132.8125,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-131.25,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-125.0,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-100,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
