current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-107.02840169146657,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-28.11360676586628,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-108.45442706346512,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-33.817708253860474,"(0, 0)",Move accepted
"(0, 0)","(-1, 0)",-100,-131.2708330154419,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-125.08333206176758,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-100.33332824707031,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-1.33331298828125,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-1.333251953125,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-1.3330078125,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-1.33203125,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-1.328125,"(3, 0)",Move accepted
"(3, 0)","(-1, 0)",-1,-1.3125,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-1.25,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-1,"(0, 0)",Move accepted
