current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-7.914068475365639,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-27.656273901462555,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-106.62509560585022,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(1, 0)",-1,-26.50038242340088,"(3, 0)",Move accepted
"(3, 0)","(0, -1)",-100,-102.00152969360352,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(1, 0)",-1,-8.006118774414062,"(4, 0)",Move accepted
"(4, 0)","(-1, 0)",-1,-28.02447509765625,"(3, 0)",Move accepted
"(3, 0)","(0, -1)",-100,-108.097900390625,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(1, 0)",-1,-32.3916015625,"(4, 0)",Move accepted
"(4, 0)","(0, -1)",-100,-125.56640625,"(4, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(4, 0)","(0, -1)",-100,-102.265625,"(4, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(4, 0)","(-1, 0)",-1,-9.0625,"(3, 0)",Move accepted
"(3, 0)","(1, 0)",-1,-32.25,"(4, 0)",Move accepted
"(4, 0)","(1, 0)",-100,-125.0,"(4, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(4, 0)","(0, -1)",-100,-100,"(4, 0)",Attempted to move into a wall or beyond the maze’s boundaries
