current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-7.521305400878191,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-26.085221603512764,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-100.34088641405106,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(-1, 0)",-1,-1.3635456562042236,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-1.4541826248168945,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-1.8167304992675781,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-3.2669219970703125,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-9.06768798828125,"(0, 1)",Move accepted
"(0, 1)","(0, 1)",-1,-32.270751953125,"(0, 2)",Move accepted
"(0, 2)","(-1, 0)",-100,-125.0830078125,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(-1, 0)",-100,-100.33203125,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(0, -1)",-1,-1.328125,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-1.3125,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-1.25,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-1,"(0, 0)",Move accepted
