current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-125.11357560753822,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-100.4543024301529,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-1.8172097206115723,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-3.268838882446289,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-9.075355529785156,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-32.301422119140625,"(0, 0)",Move accepted
"(0, 0)","(0, -1)",-100,-125.2056884765625,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-100.82275390625,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-3.291015625,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-9.1640625,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-32.65625,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-126.625,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(1, 0)",-100,-106.5,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-26.0,"(0, 2)",Move accepted
"(0, 2)","(0, 1)",-100,-100,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
