current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-125.18162432312965,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-100.72649729251862,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-2.905989170074463,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-7.623956680297852,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-26.495826721191406,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-101.98330688476562,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-7.9332275390625,"(0, 2)",Move accepted
"(0, 2)","(0, -1)",-1,-27.73291015625,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-106.931640625,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-27.7265625,"(0, 0)",Move accepted
"(0, 0)","(0, -1)",-100,-106.90625,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-27.625,"(0, 1)",Move accepted
"(0, 1)","(1, 0)",-100,-106.5,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-26.0,"(0, 0)",Move accepted
"(0, 0)","(0, -1)",-100,-100,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
