current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-2.904385630041361,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-7.617542520165443,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-26.470170080661774,"(2, 1)",Move accepted
"(2, 1)","(1, 0)",-100,-101.8806803226471,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 1)","(0, -1)",-1,-7.522721290588379,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-26.090885162353516,"(3, 0)",Move accepted
"(3, 0)","(0, 1)",-100,-100.36354064941406,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(1, 0)",-1,-1.45416259765625,"(4, 0)",Move accepted
"(4, 0)","(0, 1)",-1,-1.816650390625,"(4, 1)",Move accepted
"(4, 1)","(0, 1)",-1,-3.2666015625,"(4, 2)",Move accepted
"(4, 2)","(0, -1)",-1,-9.06640625,"(4, 1)",Move accepted
"(4, 1)","(0, -1)",-1,-32.265625,"(4, 0)",Move accepted
"(4, 0)","(0, -1)",-100,-125.0625,"(4, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(4, 0)","(1, 0)",-100,-100.25,"(4, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(4, 0)","(-1, 0)",-1,-1,"(3, 0)",Move accepted
