current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-100.75187136232853,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-3.0074854493141174,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-8.02994179725647,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-28.11976718902588,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-108.47906875610352,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-33.91627502441406,"(0, 0)",Move accepted
"(0, 0)","(0, -1)",-100,-131.66510009765625,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(-1, 0)",-100,-126.660400390625,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-106.6416015625,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-26.56640625,"(1, 0)",Move accepted
"(1, 0)","(0, -1)",-100,-102.265625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-9.0625,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-32.25,"(3, 0)",Move accepted
"(3, 0)","(0, -1)",-100,-125.0,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(3, 0)","(0, -1)",-100,-100,"(3, 0)",Attempted to move into a wall or beyond the maze’s boundaries
