current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, -1)",-100,-106.90755392611027,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, 1)",-1,-27.63021570444107,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-106.52086281776428,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, -1)",-1,-26.08345127105713,"(0, 0)",Move accepted
"(0, 0)","(-1, 0)",-100,-100.33380508422852,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-1.3352203369140625,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-1.34088134765625,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-1.363525390625,"(0, 1)",Move accepted
"(0, 1)","(0, -1)",-1,-1.4541015625,"(0, 0)",Move accepted
"(0, 0)","(0, 1)",-1,-1.81640625,"(0, 1)",Move accepted
"(0, 1)","(0, 1)",-1,-3.265625,"(0, 2)",Move accepted
"(0, 2)","(1, 0)",-1,-9.0625,"(1, 2)",Move accepted
"(1, 2)","(1, 0)",-1,-32.25,"(2, 2)",Move accepted
"(2, 2)","(0, 1)",-100,-125.0,"(2, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 2)","(0, 1)",-100,-100,"(2, 2)",Attempted to move into a wall or beyond the maze’s boundaries
