current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-26.471680719405413,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-101.88672287762165,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-7.546891510486603,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-26.18756604194641,"(2, 1)",Move accepted
"(2, 1)","(-1, 0)",-100,-100.75026416778564,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 1)","(0, 1)",-1,-3.001056671142578,"(2, 2)",Move accepted
"(2, 2)","(1, 0)",-1,-8.004226684570312,"(3, 2)",Move accepted
"(3, 2)","(1, 0)",-1,-28.01690673828125,"(4, 2)",Move accepted
"(4, 2)","(0, 1)",-100,-108.067626953125,"(4, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(4, 2)","(0, -1)",-1,-32.2705078125,"(4, 1)",Move accepted
"(4, 1)","(1, 0)",-100,-125.08203125,"(4, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(4, 1)","(1, 0)",-100,-100.328125,"(4, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(4, 1)","(0, 1)",-1,-1.3125,"(4, 2)",Move accepted
"(4, 2)","(-1, 0)",-1,-1.25,"(3, 2)",Move accepted
"(3, 2)","(1, 0)",-1,-1,"(4, 2)",Move accepted
