current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(1, 0)",-1,-32.301140148192644,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-125.20456059277058,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-100.8182423710823,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-3.2729694843292236,"(2, 0)",Move accepted
"(2, 0)","(-1, 0)",-1,-9.091877937316895,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-32.36751174926758,"(2, 0)",Move accepted
"(2, 0)","(0, -1)",-100,-125.47004699707031,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(0, -1)",-100,-101.88018798828125,"(2, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 0)","(-1, 0)",-1,-7.520751953125,"(1, 0)",Move accepted
"(1, 0)","(-1, 0)",-1,-26.0830078125,"(0, 0)",Move accepted
"(0, 0)","(-1, 0)",-100,-100.33203125,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-1.328125,"(1, 0)",Move accepted
"(1, 0)","(1, 0)",-1,-1.3125,"(2, 0)",Move accepted
"(2, 0)","(1, 0)",-1,-1.25,"(3, 0)",Move accepted
"(3, 0)","(-1, 0)",-1,-1,"(2, 0)",Move accepted
